Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance,Population,"Number of individuals
no.","Taxable income or loss3
no.","Taxable income or loss3
$","Tax on taxable income
no.","Tax on taxable income
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Total Medicare levy liability
no.","Total Medicare levy liability
$","Net tax
no.","Net tax
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Median Sales Price
$'000s",Mean Sales Price,Annual median salesprice change,Annual change in sales Count,"Sales
No.",No. 1 Bedroom rented,No. 2 Bedroom rented,No. 3 Bedroom rented,No. 4 or more Bedrooms rented,No. Bedsitter rented,No. Not Specified rented,No. Total rents,"Median Weekly Rent for New Bonds
$",Annual change in Median Weekly Rent,Annual change in New Bonds Lodged,"New Bonds Lodged
No.","Total Bonds Held
No.",sum of speeding fines paid in 2015($),SalesNo
2337,4645,4645,59225,44787,0.81,3784,61749,50348,0.15,682,-1290,-752,4645,62488,47312,4645,2940,854,0.1,450,96228,37348,0.1,455,85524,34912,0.76,3521,18414,10627,5485,127846,48862,7735,4550,4514,259424625,3720,56487577.11,3176,4700385.92,39,54924.39,3175,4740216.63,3424,58954829.02,263,1602259,448,427,0.0982,0,20,20,165,220,101,5,34,552,412.2857143,0.027585714,0.056928571,132,1097,106268,20
2340,28723,28723,52339,44179,0.81,23369,53264,48337,0.13,3708,1353,112,28723,54958,46612,28723,2387,753,0.08,2210,104260,33116,0.08,2167,82291,21040,0.77,21989,14491,9592,32175,115629,45987,45700,28005,27723,1396806407,23052,269555025.7,19038,24268534.76,309,362588.24,19028,24617549.11,21075,282947031.1,2473,15230377,370,395,0.0725,0.0968,170,384,1360,2137,1038,5,241,5164,360.5714286,0.0019,-0.181428571,847,10329,521744,170
2341,672,672,44460,37136,0.76,510,49887,42372,0.09,60,3023,2,672,46822,38636,672,1868,525,0.08,54,84642,53638,0.08,54,67978,32720,0.71,476,11320,7439,803,105715,43834,1727,666,661,30078294,537,5332842.5,427,505085.82,8,10975.36,427,516061.18,476,5409158.25,98,658221,837,910,0,0,5,5,41,75,20,0,5,147,460,0.00695,0.023816667,45,293,17491,5
2343,2646,2646,49034,39968,0.71,1890,52378,45413,0.13,346,1797,102,2646,52424,41892,2646,2331,503,0.12,307,111997,42385,0.11,303,98174,28859,0.71,1882,15065,8979,2849,116635,49303,4526,2629,2578,125662970,2062,25263277.13,1723,2253228.44,36,45553.35,1722,2297974.17,1851,26328798.03,207,1303571,220,325,-0.102,1,20,20,88,164,84,5,5,365,434.2857143,0.011214286,-0.064814286,79,731,62183,20
2346,1462,1462,43306,37861,0.74,1089,50068,44264,0.14,210,2160,1096,1462,45802,39947,1462,1906,510,0.1,149,75272,29138,0.1,145,77645,34817,0.68,994,12263,8430,1625,85718,39367,2810,1435,1393,59384116,1097,10553109.21,877,1022883.31,22,26614.88,877,1049498.19,967,10955293.9,140,887602,837,910,0,0,5,20,75,144,36,0,20,282,369,-0.013533333,0.3093,94,577,29017,5
2347,865,865,38064,34203,0.62,532,42811,39866,0.14,120,2542,1578,865,40909,35858,865,2008,300,0.14,124,104187,43134,0.14,124,81071,25854,0.65,559,11929,6922,921,106505,37993,1879,856,837,35772101,630,6799051.29,503,622658.85,11,12653.43,503,635310.49,545,6650781.25,96,689880,837,910,0,0,5,5,20,49,20,5,5,112,460.2857143,0.007142857,0.1,50,216,15849,5
2350,14372,14372,51313,41443,0.78,11220,52598,45711,0.15,2092,2035,796,14372,53814,43466,14372,2224,530,0.09,1236,79357,27342,0.08,1169,61201,17574,0.72,10344,14998,9760,16379,147051,44072,24474,14071,13924,697128463,11046,137954922.4,9197,12156347.35,214,272654.08,9189,12413121,10045,144049489,1424,9549963,365,379,0.0139,-0.0494,77,365,1059,1103,502,5,142,3177,367,0.016085714,-0.048185714,514,6353,276562,77
2352,1552,1552,47896,42908,0.81,1252,51027,47178,0.12,192,2223,578,1552,50149,45236,1552,2163,693,0.1,152,74834,28622,0.1,154,57705,24170,0.74,1154,12658,9265,1711,95366,46088,2810,1517,1501,70967375,1236,12926778.63,1036,1231485.03,11,11077.5,1036,1242562.53,1118,13644378.51,130,773074,837,910,0,0,5,5,20,90,58,0,5,185,453,0.006866667,0.250883333,60,363,33132,5
2353,610,610,44915,41022,0.8,485,51023,47156,0.14,87,690,400,610,47719,43514,610,2011,782,0.1,64,101419,37183,0.1,63,85933,28305,0.72,441,11629,8475,666,93271,53015,999,580,573,25777651,459,4458438.75,389,444507.46,3,3666.38,389,448173.84,419,4641451,45,284981,837,910,0,0,5,5,20,5,5,0,5,32,502,0,0,30,72,9444,5
2354,2139,2139,43806,36037,0.62,1325,43649,39912,0.14,295,1183,1481,2139,47624,38724,2139,2555,319,0.12,260,96781,40486,0.12,259,81122,27387,0.68,1450,12864,8003,2143,165943,49931,3521,2165,2091,89753063,1623,16413474.6,1301,1535380.51,14,10248.19,1301,1545515.64,1426,16266411.97,171,1150637,837,910,0,0,5,5,49,62,20,0,5,142,420.5,0.03555,0.397733333,60,283,43914,5
2357,1950,1950,45107,37300,0.69,1342,48682,43217,0.13,251,3667,1916,1950,47401,39064,1950,1979,409,0.11,212,116699,37429,0.11,208,101987,32194,0.7,1371,12326,7996,2196,114400,43894,4364,1973,1926,89485193,1571,16442483.51,1276,1525980.55,18,25056.36,1276,1550700.07,1391,16538763.88,215,1436995,837,910,0,0,5,20,76,111,20,0,5,236,421.3333333,0.058666667,0.1617,60,468,44230,5
2358,2153,2153,43834,36283,0.71,1533,45604,41875,0.14,292,3910,2110,2153,46407,38395,2153,2071,408,0.11,229,87119,27500,0.11,228,72315,20632,0.67,1444,12351,7870,2294,123050,48026,4043,2110,2065,93431851,1616,17644058.57,1298,1596877.78,31,38933.08,1298,1635810.86,1416,18356192.67,211,1496008,837,910,0,0,5,20,106,110,39,5,5,292,444.2857143,0.006128571,-0.012728571,65,577,38098,5
2359,404,404,36846,31748,0.67,270,43852,40282,0.12,48,1826,1012,404,39744,34702,404,1870,300,0.14,56,92734,35754,0.14,57,66809,15524,0.63,254,9786,5992,423,76327,32171,606,373,366,13495917,263,2217515.87,207,215019.41,5,4716.65,207,219736.06,236,2199819.14,56,371658,837,910,0,0,5,0,5,5,5,0,0,20,502,0,0,20,35,4954,5
2360,7412,7412,45572,39576,0.76,5616,47512,44206,0.12,904,1533,586,7412,48097,41672,7412,2153,548,0.1,712,94440,40034,0.09,694,76656,24611,0.72,5355,12217,8182,8238,114319,42884,14496,7303,7168,322024254,5788,57815016.9,4700,5481903.78,77,106281.11,4701,5587861.74,5191,60086503.34,766,4824033,300,343,0.165,-0.1087,41,104,291,589,208,5,91,1287,382.2857143,0.008228571,-0.029014286,288,2575,110539,41
2365,1983,1983,40852,34561,0.68,1342,41675,37053,0.14,271,1711,964,1983,43645,36043,1983,2177,300,0.13,251,103370,46812,0.13,251,85545,29187,0.69,1363,10737,6505,2170,111226,37751,3410,1969,1931,78897919,1539,13890638.42,1172,1322207.96,12,18853.7,1172,1341061.66,1357,13684206.85,169,1304917,274,270,0.1396,-0.1429,20,20,35,79,59,0,5,191,465,0,-0.034483333,45,389,38251,20
2370,3782,3782,40971,34343,0.69,2619,45324,40086,0.13,487,2088,792,3782,43946,36508,3782,2201,340,0.13,507,107867,35770,0.13,502,90931,26761,0.66,2484,11011,7418,4144,116896,39045,7556,3718,3642,147742847,2814,24762301.15,2184,2413824.9,33,37181.41,2183,2450288.34,2422,24911251.44,478,3513113,195,213,-0.1333,-0.3421,20,80,170,260,75,5,47,634,390.1428571,0.013057143,-0.0193,110,1271,52399,20
2371,525,525,32737,28880,0.62,324,41320,36808,0.11,58,-3082,18,525,35261,29769,525,1904,188,0.11,60,56484,27622,0.11,58,53896,26307,0.56,293,9115,6445,564,109843,36250,744,550,528,17673598,379,2735810.6,266,267613.91,5,8592.09,266,276206,308,2594901.73,88,716576,837,910,0,0,5,5,5,20,20,0,5,35,502,0,0,30,90,5935,5
2372,2460,2460,36186,29412,0.64,1563,44160,38846,0.15,370,2427,841,2460,38400,31554,2460,1788,318,0.16,382,88885,36292,0.15,377,82630,33167,0.58,1429,10358,6692,2587,118646,46260,4971,2446,2384,87750792,1727,14379892.47,1289,1408006.96,9,7365.91,1287,1410315.82,1430,14453815.83,267,1963220,270,314,0.125,-0.2609,20,32,78,157,69,5,20,355,437.5714286,0.033785714,-0.006342857,77,716,19971,20
2380,5892,5892,59409,46234,0.8,4721,63135,51341,0.13,790,30,-251,5892,62088,48690,5892,2256,700,0.09,530,79009,33582,0.09,527,65490,23179,0.76,4484,18066,11260,6552,116422,50927,10138,5720,5633,319998263,4668,67636186.5,3963,5747018.02,99,118906.36,3965,5865510.35,4270,71255158.59,445,3017763,330,390,-0.0435,0.7037,46,70,329,457,244,5,99,1200,418,0.027985714,-0.038828571,252,2404,140176,46
2382,712,712,51904,38682,0.71,508,61263,49366,0.12,82,-430,-108,712,55197,41364,712,1931,420,0.11,81,135637,33725,0.12,85,115786,29716,0.69,488,16885,10907,796,105183,45122,1191,724,710,35605234,565,7303566.51,462,636773.95,14,20465.05,462,657239,500,7587656,75,569307,837,910,0,0,5,42,20,45,37,0,5,152,468.3333333,0,0.01755,45,301,22860,5
2388,1386,1386,48939,42206,0.73,1012,49167,44106,0.11,148,850,-3,1386,53287,44340,1386,2306,342,0.11,147,160071,38782,0.1,139,156788,32455,0.72,992,14902,10557,1549,92077,36748,3090,1391,1351,65699746,1079,13401739.2,919,1212006.05,11,11851.24,919,1223857.29,986,13790578.89,143,1042631,837,910,0,0,5,20,49,38,20,0,5,123,502,0,0,30,255,37592,5
2390,4961,4961,55310,46056,0.79,3924,58016,49826,0.13,651,446,0,4961,57916,48101,4961,1978,495,0.08,421,100638,37629,0.08,412,88716,28176,0.76,3766,16284,10877,5516,113680,48206,8243,4878,4821,263243686,4005,54490796.77,3442,4751184.17,57,61350.52,3440,4810916.33,3684,57008671.71,409,2708583,336,350,0.2,-0.44,20,100,308,245,136,0,33,822,380.3333333,-0.0091,-0.001766667,151,1644,116324,20
2396,410,410,45006,33782,0.7,287,46073,37749,0.11,44,3044,1592,410,47064,35154,410,1675,458,0.15,60,113201,67107,0.14,57,99095,50330,0.66,271,16242,6261,440,80606,37597,1163,406,392,17502619,314,3104997.86,250,297933.94,2,2916.54,250,300850.48,270,3109620.94,54,388602,837,910,0,0,5,5,5,5,5,0,0,20,502,0,0,25,40,15807,5
2400,5486,5486,61044,46833,0.78,4300,53490,49118,0.12,668,830,-153,5486,65873,49054,5486,2336,619,0.08,432,123217,54618,0.08,422,98007,31041,0.78,4276,19887,10784,6420,127335,37453,10215,5522,5424,320389096,4618,71322773.59,3980,5876438.08,79,117121.27,3980,5993559.35,4291,74726791.55,482,3282737,207,231,0.0703,0.8,20,51,347,375,126,0,31,930,359.8333333,0.060416667,-0.069083333,215,1860,104855,20
2402,921,921,43596,38092,0.7,642,47943,44905,0.12,106,1350,481,921,46464,40184,921,2398,468,0.11,97,128617,51974,0.11,97,109821,42304,0.67,620,12888,8301,993,110955,37754,1912,910,896,39814493,710,7498614.09,574,697237.09,11,11939.9,574,709176.99,634,7644198.29,71,478546,837,910,0,0,5,5,20,41,20,5,5,86,502,0,0,35,182,12665,5
2404,824,824,40288,34683,0.63,516,46257,43554,0.13,107,5513,1533,824,44558,37210,824,2153,304,0.12,100,96017,31300,0.12,101,81096,32818,0.65,532,11234,7666,898,109527,42547,1785,828,796,32940511,610,5700679.86,475,539863.5,9,12020.11,475,551883.61,527,5488886.69,79,529606,837,910,0,0,5,20,20,42,20,5,5,95,502,0,0,35,207,12285,5
2406,431,431,59241,45059,0.71,306,49553,48292,0.1,44,-1832,178,431,62936,48283,431,2914,540,0.11,47,148291,48175,0.11,46,120969,34068,0.72,309,22017,11141,530,87107,29894,740,450,436,31693912,369,8185519.08,309,582678.71,6,49039.72,309,631718.43,341,8335399.63,40,325111,837,910,0,0,5,5,5,20,5,0,5,31,502,0,0,30,71,5238,5
2420,2135,2135,46114,36391,0.7,1488,53460,44010,0.15,321,2691,1095,2135,48459,38315,2135,2216,537,0.14,304,67374,25686,0.15,310,58964,22143,0.66,1418,14024,8702,2385,148129,63791,4066,2091,2063,93264043,1554,17564559.1,1250,1589209.26,21,33300.57,1248,1616694.84,1383,18247404.57,162,1145942,420,480,0.0633,0.2222,20,20,59,122,32,0,5,234,476.6666667,0,-0.05555,45,472,57466,20
2421,1170,1170,58776,44562,0.75,882,65209,53156,0.14,165,1133,-257,1170,61382,47438,1170,2478,808,0.12,143,79403,32668,0.12,139,73442,23767,0.76,884,18437,11359,1253,147195,74600,1521,1124,1118,69306386,911,16372763.94,787,1277441.38,9,12902.64,787,1290344.02,844,17447226.43,41,229371,837,910,0,0,5,5,5,20,5,0,5,20,502,0,0,30,60,24899,5
2422,2761,2761,39900,31488,0.64,1761,47299,42259,0.14,380,2631,1254,2761,42075,33502,2761,1766,330,0.14,388,67619,30620,0.14,384,56695,23503,0.61,1679,12399,7378,3015,139569,61836,5217,2730,2658,109103713,1912,20123322.32,1507,1808708.33,19,24631.79,1508,1833336.94,1650,20521744.01,266,1872831,345,385,0.1597,-0.0385,20,20,128,164,95,5,31,448,439.2857143,0.000942857,-0.0086,82,891,51500,20
2423,1483,1483,40841,33167,0.7,1039,43293,37608,0.14,202,2680,1838,1483,43042,34794,1483,1777,375,0.14,213,48251,26408,0.14,209,39379,21345,0.66,978,11014,6831,1778,121488,42326,3228,1452,1426,58557640,1066,10055746.3,848,957122.12,8,11618.27,848,968515.49,935,10137354.48,161,1194119,483,526,0.3606,-0.1176,20,5,32,81,20,0,5,154,475.8333333,-0.0047,0,45,297,26769,20
2425,1013,1013,49376,39143,0.74,745,52997,44610,0.16,158,149,598,1013,51693,41309,1013,2183,611,0.14,144,90635,26718,0.14,141,76587,26666,0.7,714,14607,9333,1146,116118,55712,1616,977,964,47505750,757,9346138.46,659,846189.24,7,8069.35,658,853163.79,703,9777097.16,65,413864,837,910,0,0,5,5,20,20,20,0,5,70,502,0,0,30,140,27596,5
2426,338,338,39668,36326,0.72,245,44189,40722,0.12,39,3396,3029,338,41301,38506,338,1633,426,0.14,47,90718,30597,0.13,45,84164,22356,0.69,232,9590,6774,402,104107,45690,518,336,336,13572513,264,2145290.84,221,231085.42,1,1603.28,221,232688.7,239,2213835.9,48,339902,837,910,0,0,5,0,5,20,5,0,0,20,502,0,0,20,50,5299,5
2427,1409,1409,41563,31311,0.62,880,49204,40408,0.13,181,1490,509,1409,43464,32498,1409,1840,300,0.08,113,72393,36294,0.08,112,52461,17249,0.59,830,13307,8164,1685,158412,76640,2474,1397,1384,59717180,968,11463080.56,743,970492,11,14287.32,743,984724.94,829,11642117.14,142,917965,535,538,0.1088,-0.2778,20,32,88,108,40,5,5,278,464.2857143,0.0433,0.137928571,65,556,19278,20
2428,11824,11824,44368,34804,0.65,7649,45815,40402,0.13,1534,3026,1262,11824,46460,36529,11824,1995,382,0.1,1157,101378,39327,0.1,1145,73725,18586,0.65,7673,13137,7495,13395,145466,54899,22699,11594,11509,497927602,8654,90337578.41,6666,8107146.29,71,121194.29,6657,8214474.79,7486,92463123.55,1229,7891489,480,505,0.0267,0.306,175,193,988,883,240,5,93,2404,409.8571429,0.030642857,-0.141957143,404,4806,159928,175
2429,4947,4947,41749,35538,0.71,3511,47299,42449,0.12,583,2505,1511,4947,43851,37384,4947,1929,520,0.12,570,80637,29306,0.11,562,69124,21126,0.67,3321,11224,7254,5603,119138,49082,9250,4788,4722,190337781,3605,31487775.64,2865,3137698.07,29,33642.35,2865,3168892.32,3171,32307230.08,512,3476897,395,412,-0.0436,0,36,37,112,226,63,5,76,517,458.5714286,0.0198,0.107042857,98,1036,66248,36
2430,16597,16597,45141,37195,0.72,11977,47520,42572,0.13,2173,2673,1039,16597,47187,38805,16597,1928,478,0.09,1446,97367,34956,0.09,1437,73291,18860,0.69,11477,12464,7814,18818,129963,50797,32568,16210,16048,708067254,12426,127491062.7,9999,11810673.36,158,238815.26,9985,12036168.36,11021,131715914.2,1851,12245073,366,414,-0.0122,0.6549,187,256,781,1127,415,5,175,2759,373.4285714,0.002385714,-0.020342857,494,5518,231582,187
2431,2555,2555,42869,33579,0.65,1650,46612,40192,0.14,358,1917,1048,2555,44938,34930,2555,1906,353,0.12,298,76761,33974,0.11,282,58222,17090,0.63,1617,12539,7519,2901,143636,59530,4953,2469,2456,104133974,1802,18801864.47,1415,1712325.42,29,41001.89,1413,1743734,1537,19027507.31,199,1335680,490,479,0.1557,0.35,20,20,198,245,68,0,5,543,426,0.021333333,0.073016667,135,1079,53536,20
2439,1636,1636,41908,36516,0.7,1144,48033,42875,0.12,191,2711,164,1636,44116,38523,1636,2078,608,0.1,166,83207,33932,0.1,167,66784,22240,0.67,1095,11227,7813,1795,130414,59449,2452,1483,1475,60635571,1097,10285221.85,879,1000921.25,19,23401.08,877,1021887.21,971,10568051.28,144,876099,837,910,0,0,5,5,20,65,20,0,20,128,455.6666667,0.025366667,0.535366667,60,258,24353,5
2440,10064,10064,42209,36712,0.75,7563,45970,42212,0.13,1306,1817,524,10064,44255,38596,10064,1897,519,0.11,1102,73312,32134,0.11,1108,60837,21740,0.69,6974,10901,7307,11870,101134,39350,21373,9890,9791,399610185,7629,66403543.96,6067,6590420.51,127,179528.16,6065,6769073.2,6752,68606535.74,1262,7882372,324,355,-0.0174,0.3016,82,201,458,723,189,5,108,1681,344.5714286,0.035971429,0.326928571,341,3365,249109,82
2441,2384,2384,47681,34412,0.68,1625,47882,42220,0.15,357,3348,1190,2384,51661,36696,2384,2006,401,0.14,341,84121,29208,0.14,335,70327,24639,0.66,1579,16270,7649,2749,114386,41275,6299,2422,2380,98808735,1810,17896150.27,1448,1677337.46,27,46013.09,1447,1722907.25,1614,18465892.79,291,1917238,380,422,-0.0162,1.125,20,5,66,92,37,5,5,212,479.5714286,0.0136,-0.064928571,50,422,55125,20
2443,4191,4191,38892,32456,0.62,2584,44441,38708,0.13,562,3442,1698,4191,40685,33762,4191,1672,385,0.1,425,72014,26635,0.1,411,54779,14072,0.63,2620,10457,6723,4804,142430,63145,8849,4169,4134,161132611,3027,26653429.07,2272,2536826.88,35,48657.95,2269,2583608.58,2538,26602922.07,408,2823607,533,550,0.0143,0.5333,46,56,296,244,77,5,38,712,437.5714286,0.003085714,0.033571429,124,1428,83934,46
2444,26511,26511,50763,39478,0.72,19151,52346,44718,0.16,4164,774,-13,26511,53169,41535,26511,2315,627,0.09,2450,108120,37866,0.09,2382,74714,18747,0.71,18835,14891,8730,28843,150773,59063,42618,25834,25644,1267595094,20301,249400993.1,16670,21794040.67,307,406156.73,16648,22177209.73,18093,259300137.3,2545,15465389,558,559,0.0593,0.203,237,374,1926,2087,797,20,162,5372,415.5714286,0.000442857,-0.0241,1034,10738,393707,237
2445,3801,3801,47135,37262,0.69,2621,52468,45067,0.16,618,397,-88,3801,49411,39321,3801,2242,575,0.1,391,86305,34776,0.1,378,63543,15569,0.68,2571,13744,9386,4185,153161,75436,5873,3675,3650,169096482,2766,31787305.26,2282,2895247.57,47,58466.32,2279,2951807.59,2478,33078699.62,279,1650419,577,596,-0.1323,-0.2174,20,20,96,134,102,0,20,379,493,0.00015,0.079016667,79,751,62735,20
2446,7301,7301,45572,37798,0.74,5387,48807,43760,0.13,966,2563,732,7301,47980,39926,7301,2171,589,0.11,804,102057,35090,0.11,792,80148,22242,0.7,5108,12637,8012,7968,121797,51225,12528,7059,6996,313254578,5490,56774504.79,4429,5270172.49,77,95904.45,4425,5360156.2,4885,58513379.38,675,4403712,445,488,0.0398,0.8667,56,57,176,377,146,0,33,789,426,-0.020433333,-0.029816667,141,1578,129186,56
2447,3745,3745,42621,35332,0.7,2629,46543,41043,0.14,535,2475,1391,3745,44634,36674,3745,1916,450,0.12,446,67525,29142,0.12,439,52657,21575,0.67,2515,11600,7484,4175,131087,47055,6811,3631,3587,151073864,2699,26670848.2,2143,2510922.2,45,84029.93,2144,2594744,2367,27470592.2,431,2785638,395,451,-0.1333,0.2778,20,20,80,202,90,5,20,420,459.7142857,0.037042857,-0.057642857,80,837,70018,20
2448,4117,4117,41774,34373,0.67,2770,45322,39940,0.14,566,1838,1250,4117,43731,35730,4117,1874,372,0.1,408,96734,33589,0.1,401,75541,16522,0.65,2695,11354,6797,4844,110757,42648,8702,4018,3975,163363884,3008,27667470.39,2344,2627478.69,43,53098.91,2342,2679343.51,2611,27942813.4,530,3450117,447,461,0.2403,-0.122,36,122,319,374,144,5,20,995,415.5714286,-0.0138,-0.110414286,147,1979,84451,36
2449,1008,1008,35882,29330,0.71,713,41757,38141,0.13,132,2822,1658,1008,37974,31700,1008,1747,308,0.13,136,78269,29499,0.14,141,66040,23946,0.61,615,9464,6305,1185,85135,31574,2324,970,952,34381746,680,5270741.03,495,518619.12,4,4759.2,494,522372.88,573,5286353.52,156,1038434,410,412,0.1714,1.2,20,20,20,52,20,5,5,91,502,0,0,35,213,27097,20
2450,25207,25207,49851,39542,0.75,18926,50378,44062,0.16,3908,1558,509,25207,52379,41801,25207,2289,608,0.1,2517,102119,31012,0.1,2488,74229,16219,0.72,18247,14105,8464,28320,131268,45936,38299,24764,24562,1189651659,19653,229364601.6,16005,20408055.35,323,443799.86,15986,20816628.73,17580,238966816.1,2599,16246579,498,527,-0.0181,0.1176,171,344,1617,1587,751,20,123,4433,424.2857143,-0.0003,0.024171429,809,8875,482532,171
2452,8047,8047,46037,39614,0.78,6275,48368,43931,0.14,1097,856,92,8047,48172,41428,8047,2087,644,0.09,727,70529,27841,0.09,723,49994,12544,0.72,5819,11935,8068,9040,115999,48579,15011,7934,7870,353861619,6298,62336458.04,5152,5977606.14,77,82296.6,5149,6054597.68,5634,64853960.6,922,5730233,478,489,0.0564,0.3333,56,68,471,552,194,5,37,1330,459.1428571,0.023928571,0.033185714,199,2657,140410,56
2453,1489,1489,38190,30437,0.59,872,46081,39168,0.14,211,2269,2066,1489,40535,32012,1489,1946,300,0.18,269,85481,32870,0.18,261,78077,29272,0.61,906,11245,7081,1591,143476,45237,2706,1520,1484,58056833,1113,9718991.75,842,933393.25,23,27672.78,842,960926.55,935,9665306.89,158,1115646,837,910,0,0,5,20,20,77,20,0,5,137,502,0,0,30,279,27202,5
2454,4226,4226,43981,34296,0.67,2835,46618,39472,0.17,703,2708,2137,4226,46125,36048,4226,2010,418,0.17,730,65206,26643,0.17,711,45790,13540,0.66,2779,12873,7720,4802,128293,45506,7350,4112,4073,177999873,3071,32449614.01,2416,2952043.53,50,83049.62,2415,3030903.12,2718,33718837.57,525,3616715,633,678,0.1469,0.0909,20,20,89,217,92,5,36,465,477.1428571,0.010714286,-0.076528571,85,924,96941,20
2455,1566,1566,44624,36088,0.7,1089,48872,42011,0.16,255,2656,1297,1566,46880,37478,1566,2204,544,0.1,149,104592,22678,0.1,149,81244,12207,0.68,1068,12112,7890,1781,126406,53742,3022,1591,1575,71069808,1238,12889357.9,994,1182941.25,21,24920.84,993,1204448.75,1093,13254645.84,176,1104973,600,568,0.2183,0.2,20,20,83,91,49,5,5,250,483.1428571,0.008157143,-0.064928571,50,503,25661,20
2456,9018,9018,44560,36272,0.75,6792,46586,40180,0.14,1222,1088,476,9018,46832,38232,9018,2079,497,0.09,800,86137,32690,0.09,778,66899,15282,0.72,6514,11714,7164,10352,102162,34099,13580,8765,8690,371191204,6806,65904522.75,5234,6124587,122,181956.18,5228,6302165.3,6095,67845996.99,845,5260984,549,576,0.0005,0.1042,53,50,267,409,259,0,123,1108,460.3333333,0.01365,0.215166667,280,2216,196749,53
2460,14531,14531,45063,38772,0.76,11048,49235,43940,0.14,2105,1718,462,14531,47249,40516,14531,1956,536,0.1,1413,76101,28805,0.1,1401,60333,19967,0.71,10331,11820,8197,16697,111038,45963,28593,14118,13953,611695619,11005,106943617,8907,10262905.43,138,172878.13,8900,10432299.86,9792,110948409.6,1679,10630963,315,329,-0.1201,0.0412,101,193,636,1076,341,5,84,2340,414.1428571,-0.003328571,0.159114286,427,4675,203231,101
2462,1228,1228,41259,33858,0.71,867,43699,38740,0.15,180,3366,400,1228,43007,35720,1228,1438,392,0.16,200,69428,27631,0.16,194,59997,22552,0.67,823,10960,6532,1406,103493,43553,2510,1129,1105,44325727,834,7520965.91,649,728050.65,16,22508.84,649,750559.49,724,7706014.07,140,877651,837,910,0,0,5,20,46,75,20,0,5,171,483.3333333,0,-0.03175,45,337,19118,5
2463,3956,3956,45640,36757,0.71,2821,49243,41517,0.13,524,2033,807,3956,47952,38274,3956,1989,477,0.11,431,101026,32755,0.11,434,82549,17140,0.68,2709,12845,7692,4501,126799,50878,7146,3824,3778,164205043,2903,29210891.49,2325,2726482.36,36,48384.6,2325,2772600.85,2594,29841594.78,420,2661974,489,489,0.1102,0.2414,36,47,106,254,77,5,20,510,467.5714286,0.004785714,0.112942857,91,1019,40024,36
2464,3713,3713,45696,34967,0.64,2374,51179,41561,0.19,700,2330,1200,3713,48029,36435,3713,2146,422,0.12,461,77850,29484,0.12,454,56988,14232,0.66,2448,13627,7874,4126,157555,58055,6683,3599,3565,154767306,2664,28273884.44,2079,2534302.45,35,45896.53,2076,2576096.27,2298,28862755.64,358,2207517,548,591,-0.056,0.7419,54,38,288,367,105,0,31,829,454.8333333,-0.014266667,0.207766667,250,1658,38326,54
2466,717,717,40881,31858,0.57,410,48457,41383,0.17,119,2599,1206,717,42942,33430,717,1931,323,0.12,87,57992,25534,0.11,82,41425,12888,0.6,431,12306,8147,845,138858,52024,1701,726,721,27784317,505,4676016.82,384,440913.32,7,8807.89,384,449699.8,430,4786157.67,92,650999,510,528,0.2439,2.75,20,20,90,90,20,5,5,227,480.2857143,-0.003971429,-0.011428571,50,457,8142,20
2469,1830,1830,35140,29021,0.64,1165,40503,34326,0.13,233,2071,324,1830,37324,30932,1830,1758,298,0.15,270,67536,30538,0.15,266,57530,23304,0.62,1136,8978,5441,2230,91413,31133,4244,1765,1716,62326557,1252,9796822.96,904,958481.37,20,22882.33,902,977318.84,1065,9536851.41,228,1695902,376,306,-0.1116,0.375,20,5,20,55,20,0,5,119,464.1666667,0.003083333,0.07575,45,224,20520,20
2470,7498,7498,42044,38640,0.77,5803,46306,43999,0.12,882,1346,304,7498,43989,40174,7498,1691,578,0.09,675,140626,31607,0.09,676,130476,23468,0.71,5359,10200,7611,8494,92080,40895,14549,7274,7190,297564905,5748,48769134.31,4656,4929646.93,27,31170.7,4653,4959532.82,5126,50098580.66,837,5355338,318,333,0.1178,0.3409,59,78,351,523,179,5,98,1231,400.1428571,0.002128571,0.248585714,202,2465,74014,59
2471,1306,1306,39922,36828,0.77,1002,45050,42142,0.13,168,820,1038,1306,42400,39118,1306,1898,580,0.11,146,107416,35136,0.11,150,87141,27528,0.69,895,10179,7316,1487,76057,39272,2579,1249,1229,47298318,965,7635077.27,787,805025.36,10,10235.61,787,815260.97,860,7845708.08,152,957115,837,910,0,0,5,5,20,60,20,0,20,116,502,0,0,30,241,21618,5
